timestamp_ns,position,pnl,orders_sent,orders_filled,bid,ask
1782758596969315865,0,0.0000,2,0,174.9806,175.0306
1782758597970097932,-20,3.4999,40,24,174.9742,175.0242
1782758598970256927,-40,6.9996,80,56,174.9634,175.0134
1782758599972305124,-80,13.9988,120,80,174.9496,174.9996
1782758600972419373,-90,15.7484,157,109,174.9400,174.9900
1782758601972531281,-80,13.9986,190,128,174.9365,174.9865
1782758602972610323,-80,13.9989,227,152,174.9143,174.9643
1782758603972700701,-60,10.5001,265,176,174.9159,174.9659
1782758604972802245,-30,5.2520,305,201,174.8900,174.9400
1782758605972915831,10,-1.7446,345,229,174.8945,174.9445
1782758606973038500,20,-3.4938,385,256,174.8849,174.9349
1782758607973126647,80,-13.9874,425,280,174.8577,174.9077
1782758608973341107,10,-1.7454,465,311,174.8377,174.8877
1782758609973444383,50,-8.7400,505,335,174.8499,174.8999
1782758610973578387,30,-5.2418,545,363,174.8733,174.9233
1782758611973726657,10,-1.7436,585,391,174.8484,174.8984
1782758612973859946,-20,3.5029,625,418,174.8709,174.9209
1782758613973991608,-30,5.2523,665,443,174.8521,174.9021
1782758614974186408,10,-1.7432,705,473,174.8721,174.9221
1782758615974310766,20,-3.4922,745,494,174.8864,174.9364
1782758616974442985,-10,1.7545,783,525,174.8613,174.9113
1782758617974561383,40,-6.9895,823,546,174.8526,174.9026
1782758618974744610,50,-8.7386,863,571,174.8609,174.9109
1782758619974851535,0,0.0068,903,600,174.9054,174.9554
1782758620974953016,-30,5.2550,943,627,174.9140,174.9640
1782758621975067049,-20,3.5057,983,656,174.9195,174.9695
1782758622975239965,-30,5.2551,1023,685,174.9300,174.9800
1782758623975347930,-20,3.5053,1063,714,174.9470,174.9970
1782758624975430516,-60,10.5035,1103,742,174.9250,174.9750
1782758625975524911,-80,14.0024,1143,766,174.9033,174.9533
1782758626975609227,-80,14.0026,1183,796,174.9089,174.9589
1782758627975720056,-100,17.5016,1219,818,174.9258,174.9758
1782758628976070924,-70,12.2532,1258,841,174.8984,174.9484
1782758629976231388,-90,15.7514,1295,865,174.8843,174.9343
1782758630976348494,-70,12.2524,1329,885,174.9278,174.9778
1782758631976471279,-90,15.7516,1369,913,174.9441,174.9941
1782758632976561724,-90,15.7516,1401,933,174.9228,174.9728
1782758633976658141,-60,10.5030,1441,966,174.9237,174.9737
1782758634976845670,-80,14.0022,1481,992,174.9259,174.9759
1782758635976953722,-50,8.7536,1519,1017,174.9312,174.9812
1782758636977117415,-50,8.7538,1559,1047,174.9454,174.9954
1782758637977254719,-10,1.7548,1599,1077,174.9471,174.9971
1782758638977416427,-30,5.2544,1639,1103,174.9394,174.9894
1782758639977561720,0,0.0049,1679,1128,174.9580,175.0080
1782758640977643278,30,-5.2442,1719,1155,174.9456,174.9956
1782758641977752748,60,-10.4934,1759,1182,174.9486,174.9986
1782758642977849739,90,-15.7422,1797,1209,174.9411,174.9911
1782758643978019200,100,-17.4919,1834,1238,174.9282,174.9782
1782758644978110147,90,-15.7427,1871,1259,174.9181,174.9681
1782758645978237210,80,-13.9931,1905,1286,174.9258,174.9758
1782758646978383711,80,-13.9937,1945,1314,174.9530,175.0030
1782758647978501655,80,-13.9937,1982,1338,174.9448,174.9948
1782758648978582867,70,-12.2434,2018,1359,174.9794,175.0294
1782758649978672929,90,-15.7432,2058,1391,174.9596,175.0096
